MAG,PHI,error_inf,error_sup
-23.183,2.85e-06,1.57e-06,3.23e-06
-23.02,5.28e-06,2.6e-06,5.46e-06
-22.87,1.704e-05,4.53e-06,9.21e-06
-22.698,3.46e-05,9.19e-06,9.69e-06
-22.565,8.2e-05,2.36e-05,2.298e-05
-22.411,0.00012233,1.749e-05,2.041e-05
-22.248,0.00024087,3.445e-05,4.022e-05
-22.096,0.00032756,3.803e-05,4.303e-05
-21.942,0.00050396,5.862e-05,8.414e-05
-21.793,0.00093293,0.00013332,9.068e-05
-21.638,0.0012687,0.00014731,0.00021182
-21.484,0.0017253,0.00020051,0.00025723
-21.311,0.0025731,0.00036772,0.00024991
-21.176,0.0031906,0.00028245,0.00041865
-21.011,0.0038341,0.00033897,0.00037238
-20.857,0.0050559,0.00072364,0.00049034
-20.703,0.0055388,0.00064248,0.00053795
-20.56,0.0064562,0.00074961,0.00062615
-20.412,0.007296,0.00084711,0.0007076
-20.241,0.0085022,0.00075266,0.00082459
-20.098,0.0096081,0.0011156,0.0010957
-19.934,0.0098966,0.0016726,0.00095981
-19.78,0.010844,0.0012603,0.0014245
-19.634,0.012255,0.0017527,0.001186
-19.478,0.013019,0.0016885,0.0012626
-19.308,0.013409,0.0015569,0.0022367
-19.165,0.015628,0.0022342,0.0015178
-19.006,0.014676,0.0017056,0.0024481
-18.863,0.015118,0.0013366,0.0025219
-18.698,0.01817,0.0025976,0.0023868
-18.539,0.016542,0.0019188,0.002173
-18.407,0.016024,0.002708,0.0026753
-18.243,0.018673,0.0021659,0.0031148
-18.089,0.020778,0.0032432,0.0046146
-17.924,0.016981,0.0024276,0.0034535
-17.765,0.018604,0.0031442,0.0031061
-17.628,0.019768,0.004324,0.0032976
-17.466,0.025271,0.0042708,0.0051414
-17.32,0.02769,0.0046797,0.0056357
-17.166,0.030341,0.0058938,0.0073147
-17.002,0.021581,0.0057295,0.0036
-16.848,0.026753,0.008281,0.0054409
-16.7,0.02756,0.0091066,0.0088169
-16.557,0.03634,0.010459,0.013135
-16.402,0.067273,0.017854,0.030158
-16.232,0.01625,0.010379,0.026045
-16.081,0.057516,0.027429,0.059439
