,0
U-G,0.2532731938481081
G-R,2.9411034605908672
i-z,0.2046856465882266
Hmag,0.08725163582590093
Jmag,0.11786149813477155
umag,1.1709727965310797
gmag,1.6354311269093584
rmag,0.6225350061277416
imag,0.26111002654029525
zmag,0.25123148650128413
Ymag,0.14775285425594822
Kmag,0.1037183674496211
W1mag,0.09790216345216698
W2mag,0.20314205756160816
u3mag,0.9856175843303563
g3mag,1.6730926699658544
r3mag,0.5425361754153841
i3mag,0.18251471268786446
Z3mag,0.32101169109393385
Y3mag,0.3515114407291182
J3mag,0.15211463681242682
H3mag,0.11306691673320828
K3mag,0.09708672180425051
J3/J_r,1.777806879873373
Y3/Y_r,0.9045163645181065
Yhlr,8.69113883055739
Jhlr,9.528577728822253
Hhlr,4.681986430890928
Khlr,9.041654868379721
H-K,0.6502999774661292
H-J,0.19626025869702118
J-K,5.516123383910909
Y-J,0.06877323029183359
Y-K,1.09522517614504
J-H,0.42620876599624447
K-H,0.41397045622599443
K-J,4.5570799145551035
Y-H,0.22493928361808202
H-W1,0.20235190102804754
J-W1,2.1413872982447337
K-W1,0.22323831516589968
Y-W1,0.6805275780987454
H-W2,1.615652948776394
J-W2,3.548020447006839
K-W2,1.6740224096446366
Y-W2,1.7951421454187606
H-W1,0.26212371081738245
J-W1,1.6451604235493718
K-W1,0.31727893727653544
Y-W1,0.16999691185453344
H-W2,1.4471168020845842
J-W2,3.8793718407902524
K-W2,2.7547069663776806
Y-W2,2.4730687445618784
H-W1,0.46300813915163447
J-W1,1.8768566513157874
K-W1,0.21476156046247694
Y-W1,0.5807061237034592
H-W2,1.403226974443615
J-W2,4.245494263176122
K-W2,1.9446528139040946
Y-W2,2.2205505504010348
H-W1,0.471780267654009
J-W1,1.4587098552539934
